Index,Interface,Operating Status,Interface Type,Max Packet Size,Curr Bandwidth,Physical Address,Desired State,Time Last Change,Octets Received In,Unicast Packets In,Discarded Packets In,Error Packets In,Unknown Packets In,Octets Received Out,Unicast Packets Out,Discarded Packets Out,Error Packets Out,Output Queue Length,MIB Definitions
1,Ethernet0,up(1),ethernetCsmacd(6),9100,4294967295,b4:db:91:f1:73:53,up(1),8:23:28.30,359644127,3102559,0,0,0,2754023629,5138014,0,0,0,SNMPv2-SMI::zeroDotZero
9,Ethernet8,up(1),ethernetCsmacd(6),9100,4294967295,b4:db:91:f1:73:53,up(1),8:23:28.30,923252462,8913376,0,0,0,1331258867,12240815,0,0,0,SNMPv2-SMI::zeroDotZero
17,Ethernet16,up(1),ethernetCsmacd(6),9100,4294967295,b4:db:91:f1:73:53,up(1),23:19:03.52,1671023669,3166200438,0,0,0,719936603,3357064,0,0,0,SNMPv2-SMI::zeroDotZero
21,Ethernet20,down(2),ethernetCsmacd(6),9100,4294967295,b4:db:91:f1:73:53,down(2),0:00:00.00,0,0,0,0,0,0,0,0,0,0,SNMPv2-SMI::zeroDotZero
25,Ethernet24,up(1),ethernetCsmacd(6),9100,4294967295,b4:db:91:f1:73:53,up(1),23:19:03.50,3993605071,675056672,0,0,0,650312676,94635853,0,0,0,SNMPv2-SMI::zeroDotZero
29,Ethernet28,down(2),ethernetCsmacd(6),9100,4294967295,b4:db:91:f1:73:53,down(2),0:00:00.00,0,0,0,0,0,0,0,0,0,0,SNMPv2-SMI::zeroDotZero
33,Ethernet32,up(1),ethernetCsmacd(6),9100,4294967295,b4:db:91:f1:73:53,up(1),23:19:03.51,504598179,4114248852,0,0,0,822170107,3752295110,0,0,0,SNMPv2-SMI::zeroDotZero
37,Ethernet36,down(2),ethernetCsmacd(6),9100,4294967295,b4:db:91:f1:73:53,down(2),0:00:00.00,0,0,0,0,0,0,0,0,0,0,SNMPv2-SMI::zeroDotZero
41,Ethernet40,up(1),ethernetCsmacd(6),9100,4294967295,b4:db:91:f1:73:53,up(1),23:19:03.51,243245657,1226993,0,0,0,122278626,3223637,0,0,0,SNMPv2-SMI::zeroDotZero
45,Ethernet44,down(2),ethernetCsmacd(6),9100,4294967295,b4:db:91:f1:73:53,down(2),0:00:00.00,0,0,0,0,0,0,0,0,0,0,SNMPv2-SMI::zeroDotZero
49,Ethernet48,down(2),ethernetCsmacd(6),9100,4294967295,b4:db:91:f1:73:53,up(1),0:00:00.00,0,0,0,0,0,0,0,0,0,0,SNMPv2-SMI::zeroDotZero
57,Ethernet56,down(2),ethernetCsmacd(6),9100,4294967295,b4:db:91:f1:73:53,up(1),0:00:00.00,0,0,0,0,0,0,0,0,0,0,SNMPv2-SMI::zeroDotZero
65,Ethernet64,down(2),ethernetCsmacd(6),9100,4294967295,b4:db:91:f1:73:53,up(1),0:00:00.00,0,0,0,0,0,0,0,0,0,0,SNMPv2-SMI::zeroDotZero
73,Ethernet72,down(2),ethernetCsmacd(6),9100,4294967295,b4:db:91:f1:73:53,up(1),0:00:00.00,0,0,0,0,0,0,0,0,0,0,SNMPv2-SMI::zeroDotZero
81,Ethernet80,down(2),ethernetCsmacd(6),9100,4294967295,b4:db:91:f1:73:53,up(1),0:00:00.00,0,0,0,0,0,0,0,0,0,0,SNMPv2-SMI::zeroDotZero
89,Ethernet88,down(2),ethernetCsmacd(6),9100,4294967295,b4:db:91:f1:73:53,up(1),0:00:00.00,0,0,0,0,0,0,0,0,0,0,SNMPv2-SMI::zeroDotZero
97,Ethernet96,down(2),ethernetCsmacd(6),9100,4294967295,b4:db:91:f1:73:53,up(1),0:00:00.00,0,0,0,0,0,0,0,0,0,0,SNMPv2-SMI::zeroDotZero
105,Ethernet104,down(2),ethernetCsmacd(6),9100,4294967295,b4:db:91:f1:73:53,up(1),0:00:00.00,0,0,0,0,0,0,0,0,0,0,SNMPv2-SMI::zeroDotZero
113,Ethernet112,down(2),ethernetCsmacd(6),9100,4294967295,b4:db:91:f1:73:53,up(1),0:00:00.00,0,0,0,0,0,0,0,0,0,0,SNMPv2-SMI::zeroDotZero
121,Ethernet120,down(2),ethernetCsmacd(6),9100,4294967295,b4:db:91:f1:73:53,up(1),0:00:00.00,0,0,0,0,0,0,0,0,0,0,SNMPv2-SMI::zeroDotZero
129,Ethernet128,down(2),ethernetCsmacd(6),9100,4294967295,b4:db:91:f1:73:53,up(1),0:00:00.00,0,0,0,0,0,0,0,0,0,0,SNMPv2-SMI::zeroDotZero
137,Ethernet136,down(2),ethernetCsmacd(6),9100,4294967295,b4:db:91:f1:73:53,up(1),0:00:00.00,0,0,0,0,0,0,0,0,0,0,SNMPv2-SMI::zeroDotZero
145,Ethernet144,down(2),ethernetCsmacd(6),9100,4294967295,b4:db:91:f1:73:53,up(1),0:00:00.00,0,0,0,0,0,0,0,0,0,0,SNMPv2-SMI::zeroDotZero
153,Ethernet152,down(2),ethernetCsmacd(6),9100,4294967295,b4:db:91:f1:73:53,up(1),0:00:00.00,0,0,0,0,0,0,0,0,0,0,SNMPv2-SMI::zeroDotZero
161,Ethernet160,down(2),ethernetCsmacd(6),9100,4294967295,b4:db:91:f1:73:53,up(1),0:00:00.00,0,0,0,0,0,0,0,0,0,0,SNMPv2-SMI::zeroDotZero
169,Ethernet168,down(2),ethernetCsmacd(6),9100,4294967295,b4:db:91:f1:73:53,up(1),0:00:00.00,0,0,0,0,0,0,0,0,0,0,SNMPv2-SMI::zeroDotZero
177,Ethernet176,down(2),ethernetCsmacd(6),9100,4294967295,b4:db:91:f1:73:53,up(1),0:00:00.00,0,0,0,0,0,0,0,0,0,0,SNMPv2-SMI::zeroDotZero
185,Ethernet184,down(2),ethernetCsmacd(6),9100,4294967295,b4:db:91:f1:73:53,up(1),0:00:00.00,0,0,0,0,0,0,0,0,0,0,SNMPv2-SMI::zeroDotZero
193,Ethernet192,down(2),ethernetCsmacd(6),9100,4294967295,b4:db:91:f1:73:53,up(1),0:00:00.00,0,0,0,0,0,0,0,0,0,0,SNMPv2-SMI::zeroDotZero
201,Ethernet200,down(2),ethernetCsmacd(6),9100,4294967295,b4:db:91:f1:73:53,up(1),0:00:00.00,0,0,0,0,0,0,0,0,0,0,SNMPv2-SMI::zeroDotZero
209,Ethernet208,down(2),ethernetCsmacd(6),9100,4294967295,b4:db:91:f1:73:53,up(1),0:00:00.00,0,0,0,0,0,0,0,0,0,0,SNMPv2-SMI::zeroDotZero
217,Ethernet216,up(1),ethernetCsmacd(6),9100,4294967295,b4:db:91:f1:73:53,up(1),23:17:06.36,30239798,286446,0,0,0,1577359025,1136616,0,0,0,SNMPv2-SMI::zeroDotZero
218,Ethernet217,down(2),ethernetCsmacd(6),9100,4294967295,b4:db:91:f1:73:53,up(1),0:00:00.00,0,0,0,0,0,0,0,0,0,0,SNMPv2-SMI::zeroDotZero
219,Ethernet218,down(2),ethernetCsmacd(6),9100,4294967295,b4:db:91:f1:73:53,up(1),0:00:00.00,0,0,0,0,0,0,0,0,0,0,SNMPv2-SMI::zeroDotZero
